symbol,exchange,organ_name,en_organ_name,type,id,short_name,sector1_vn,sector2_vn,sector3_vn,sector1_en,sector2_en,sector3_en,listing_shares,source,vietstock_profile_url,vietstock_financial_url
TCD,HOSE,CTCP Tập đoàn Xây dựng TRACODI,TRACODI Construction Holdings Joint Stock Company,STOCK,284.0,Xây dựng TRACODI,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,335820641,EXPANDED,https://finance.vietstock.vn/TCD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TCD/tai-chinh.htm?tab=BCTT
MML,UPCOM,CTCP Masan MeatLife,Masan MeatLife Corporation,STOCK,285.0,Masan MeatLife,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,329052593,EXPANDED,https://finance.vietstock.vn/MML/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/MML/tai-chinh.htm?tab=BCTT
PRT,UPCOM,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,B?nh D??ng Production and Trading Goods Corportation,STOCK,286.0,Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,300000000,EXPANDED,https://finance.vietstock.vn/PRT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PRT/tai-chinh.htm?tab=BCTT
SJS,HOSE,CTCP SJ Group,SJ Group Joint Stock Company,STOCK,287.0,SJ Group,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,297474828,EXPANDED,https://finance.vietstock.vn/SJS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SJS/tai-chinh.htm?tab=BCTT
KDC,HOSE,CTCP Tập đoàn KIDO,KIDO Group Corporation,STOCK,288.0,KIDO,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,289806316,EXPANDED,https://finance.vietstock.vn/KDC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/KDC/tai-chinh.htm?tab=BCTT
POM,UPCOM,CTCP Thép Pomina,Pomina Steel Corporation,STOCK,289.0,Thép Pomina,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Materials,Materials,Metals & Mining,279676336,EXPANDED,https://finance.vietstock.vn/POM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/POM/tai-chinh.htm?tab=BCTT
SIP,HOSE,CTCP Đầu tư Sài Gòn VRG,Sai Gon VRG Investment Corporation,STOCK,290.0,Đầu tư Sài Gòn VRG,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,242112943,EXPANDED,https://finance.vietstock.vn/SIP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SIP/tai-chinh.htm?tab=BCTT
DVN,UPCOM,Tổng Công ty Dược Việt Nam - CTCP,Vietnam Pharmaceutical Corporation - JSC,STOCK,291.0,Dược Việt Nam - CTCP,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Health Care,"Pharma., Bio. & Life Sciences",Pharmaceuticals,237000000,EXPANDED,https://finance.vietstock.vn/DVN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DVN/tai-chinh.htm?tab=BCTT
TLP,UPCOM,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP,Thanh Le General Import-Export Trading Corporation,STOCK,292.0,Thương mại Xuất nhập khẩu Thanh Lễ - CTCP,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Consumer Discretionary,Consumer Discre. Dist. & Retail,Distributors,236600000,EXPANDED,https://finance.vietstock.vn/TLP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TLP/tai-chinh.htm?tab=BCTT
VSH,HOSE,CTCP Thủy điện Vĩnh Sơn - Sông Hinh,Vinh Son - Song Hinh Hydropower Joint Stock Company,STOCK,293.0,Thủy điện Vĩnh Sơn - Sông Hinh,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,236241246,EXPANDED,https://finance.vietstock.vn/VSH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VSH/tai-chinh.htm?tab=BCTT
HNA,HOSE,CTCP Thủy điện Hủa Na,Hua Na Hydropower Joint Stock Company,STOCK,294.0,Thủy điện Hủa Na,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,235232210,EXPANDED,https://finance.vietstock.vn/HNA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/HNA/tai-chinh.htm?tab=BCTT
PVI,HNX,CTCP PVI,PVI Holdings,STOCK,295.0,PVI,Tài chính,Bảo hiểm,Bảo hiểm,Financials,Insurance,Insurance,234241867,EXPANDED,https://finance.vietstock.vn/PVI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PVI/tai-chinh.htm?tab=BCTT
PAP,UPCOM,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An,PetroVietnam Phuoc An Port Investment And Operation Joint Stock Company,STOCK,296.0,Dầu khí Đầu tư Khai thác Cảng Phước An,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,232000000,EXPANDED,https://finance.vietstock.vn/PAP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PAP/tai-chinh.htm?tab=BCTT
PEG,UPCOM,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP,Petec Trading and Investment Corporation,STOCK,297.0,Thương mại Kỹ thuật và Đầu tư - CTCP,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Consumer Discretionary,Consumer Discre. Dist. & Retail,Distributors,231898919,EXPANDED,https://finance.vietstock.vn/PEG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PEG/tai-chinh.htm?tab=BCTT
BHN,HOSE,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,Hanoi Beer Alcohol And Beverage Joint Stock Corporation,STOCK,298.0,Bia - Rượu - Nước giải khát Hà Nội,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Consumer Staples,"Food, Bev. & Tobacco",Beverages,231800000,EXPANDED,https://finance.vietstock.vn/BHN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BHN/tai-chinh.htm?tab=BCTT
HVG,UPCOM,CTCP Hùng Vương,Hung Vuong Joint Stock Corporation,STOCK,299.0,Hùng Vương,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,227038291,EXPANDED,https://finance.vietstock.vn/HVG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/HVG/tai-chinh.htm?tab=BCTT
HTM,UPCOM,Tổng Công ty Thương mại Hà Nội - CTCP,Hanoi Trade Joint Stock Corporation,STOCK,300.0,Thương mại Hà Nội - CTCP,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Consumer Discretionary,Consumer Discre. Dist. & Retail,Distributors,220000000,EXPANDED,https://finance.vietstock.vn/HTM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/HTM/tai-chinh.htm?tab=BCTT
KOS,HOSE,CTCP KOSY,KOSY Joint Stock Company,STOCK,301.0,KOSY,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,216481335,EXPANDED,https://finance.vietstock.vn/KOS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/KOS/tai-chinh.htm?tab=BCTT
SGP,UPCOM,CTCP Cảng Sài Gòn,Saigon Port Join Stock Company,STOCK,302.0,Cảng Sài Gòn,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,216294961,EXPANDED,https://finance.vietstock.vn/SGP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SGP/tai-chinh.htm?tab=BCTT
IPA,HNX,CTCP Tập đoàn Đầu tư I.P.A,I.P.A Investments Group Joint Stock Company,STOCK,303.0,Đầu tư I.P.A,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Industrials,Capital Goods,Industrial Conglomerates,213835775,EXPANDED,https://finance.vietstock.vn/IPA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/IPA/tai-chinh.htm?tab=BCTT
VLC,UPCOM,Tổng Công ty Chăn Nuôi Việt Nam - CTCP,Vietnam Livestock Corporation JSC,STOCK,304.0,Chăn Nuôi Việt Nam - CTCP,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,212491611,EXPANDED,https://finance.vietstock.vn/VLC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VLC/tai-chinh.htm?tab=BCTT
VCR,UPCOM,CTCP Đầu tư và Phát triển Du lịch Vinaconex,Vinaconex Investment And Tourism Development JSC,STOCK,305.0,Đầu tư và Phát triển Du lịch Vinaconex,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,210000000,EXPANDED,https://finance.vietstock.vn/VCR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VCR/tai-chinh.htm?tab=BCTT
DSC,HOSE,CTCP Chứng khoán DSC,DSC Securities Corporation,STOCK,306.0,Chứng khoán DSC,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,204838925,EXPANDED,https://finance.vietstock.vn/DSC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DSC/tai-chinh.htm?tab=BCTT
VNR,HNX,Tổng Công ty cổ phần Tái Bảo hiểm Quốc gia Việt Nam,Vietnam National Reinsurance Corporation,STOCK,307.0,Tái Bảo hiểm Quốc gia Việt Nam,Tài chính,Bảo hiểm,Bảo hiểm,Financials,Insurance,Insurance,200630248,EXPANDED,https://finance.vietstock.vn/VNR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VNR/tai-chinh.htm?tab=BCTT
PHS,UPCOM,CTCP Chứng khoán Phú Hưng,Phu Hung Securities Corporation,STOCK,308.0,Chứng khoán Phú Hưng,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,200009819,EXPANDED,https://finance.vietstock.vn/PHS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PHS/tai-chinh.htm?tab=BCTT
KSV,HNX,Tổng Công ty Khoáng sản TKV - CTCP,Vinacomin - Minerals Holding Corporation,STOCK,309.0,Khoáng sản TKV - CTCP,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Materials,Materials,Metals & Mining,200000000,EXPANDED,https://finance.vietstock.vn/KSV/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/KSV/tai-chinh.htm?tab=BCTT
OCH,HNX,CTCP One Capital Hospitality,One Capital Hospitality Joint Stock Company,STOCK,310.0,One Capital Hospitality,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,200000000,EXPANDED,https://finance.vietstock.vn/OCH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/OCH/tai-chinh.htm?tab=BCTT
TID,UPCOM,CTCP Tổng Công ty Tín Nghĩa,Tin Nghia Corporation,STOCK,311.0,Tín Nghĩa,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,200000000,EXPANDED,https://finance.vietstock.vn/TID/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TID/tai-chinh.htm?tab=BCTT
TSC,HOSE,CTCP Vật tư Kỹ thuật nông nghiệp Cần Thơ,Techno - Agricultural Supplying Joint Stock Company,STOCK,312.0,Vật tư Kỹ thuật nông nghiệp Cần Thơ,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Consumer Discretionary,Consumer Discre. Dist. & Retail,Distributors,196858925,EXPANDED,https://finance.vietstock.vn/TSC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TSC/tai-chinh.htm?tab=BCTT
LGC,HOSE,CTCP Đầu tư Cầu đường CII,CII Bridges & Roads Investment JSC,STOCK,313.0,Đầu tư Cầu đường CII,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,192854765,EXPANDED,https://finance.vietstock.vn/LGC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/LGC/tai-chinh.htm?tab=BCTT
TIS,UPCOM,CTCP Gang thép Thái Nguyên,Thai Nguyen Iron And Steel JSC,STOCK,314.0,Gang thép Thái Nguyên,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Materials,Materials,Metals & Mining,184000000,EXPANDED,https://finance.vietstock.vn/TIS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TIS/tai-chinh.htm?tab=BCTT
HAI,UPCOM,CTCP Nông dược H.A.I,HAI Agrochem Joint Stock Company,STOCK,315.0,Nông dược H.A.I,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Consumer Discretionary,Consumer Discre. Dist. & Retail,Distributors,182682799,EXPANDED,https://finance.vietstock.vn/HAI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/HAI/tai-chinh.htm?tab=BCTT
PXL,UPCOM,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn,Long Son Petroleum Industrial Zone Investment JSC,STOCK,316.0,Đầu tư Khu Công nghiệp Dầu khí Long Sơn,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,176145500,EXPANDED,https://finance.vietstock.vn/PXL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PXL/tai-chinh.htm?tab=BCTT
TTA,HOSE,CTCP Đầu tư Xây dựng và Phát triển Trường Thành,Truong Thanh Development and Constrution Investment Joint Stock Company,STOCK,317.0,Đầu tư Xây dựng và Phát triển Trường Thành,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,170057593,EXPANDED,https://finance.vietstock.vn/TTA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TTA/tai-chinh.htm?tab=BCTT
TMS,HOSE,CTCP Transimex,Transimex Corporation,STOCK,318.0,Transimex,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,169347954,EXPANDED,https://finance.vietstock.vn/TMS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TMS/tai-chinh.htm?tab=BCTT
TVS,HOSE,CTCP Chứng khoán Thiên Việt,Thien Viet Securities Joint Stock Company,STOCK,319.0,Chứng khoán Thiên Việt,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,166995274,EXPANDED,https://finance.vietstock.vn/TVS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TVS/tai-chinh.htm?tab=BCTT
VEF,UPCOM,CTCP Trung tâm Hội chợ Triển lãm Việt Nam,Vietnam Exhibition Fair Centre Joint Stock Company,STOCK,320.0,Trung tâm Hội chợ Triển lãm Việt Nam,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại,Industrials,Comm. & Prof. Services,Commercial Services & Supplies,166604050,EXPANDED,https://finance.vietstock.vn/VEF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VEF/tai-chinh.htm?tab=BCTT
KLF,UPCOM,CTCP Đầu tư Thương mại và Xuất nhập khẩu CFS,CFS Investment And Import Export Trading JSC,STOCK,321.0,Đầu tư Thương mại và Xuất nhập khẩu CFS,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Consumer Discretionary,Consumer Discre. Dist. & Retail,Distributors,165352561,EXPANDED,https://finance.vietstock.vn/KLF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/KLF/tai-chinh.htm?tab=BCTT
AMD,UPCOM,CTCP Đầu tư và Khoáng sản FLC Stone,FLC Stone Mining And Investment Joint Stock Company,STOCK,322.0,Đầu tư và Khoáng sản FLC Stone,Công nghiệp,Hàng hóa công nghiệp,Sản phẩm xây dựng,Industrials,Capital Goods,Building Products,163504874,EXPANDED,https://finance.vietstock.vn/AMD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AMD/tai-chinh.htm?tab=BCTT
CKG,HOSE,CTCP Tập đoàn CIC,CIC Group Joint Stock Company,STOCK,323.0,CIC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,161807526,EXPANDED,https://finance.vietstock.vn/CKG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CKG/tai-chinh.htm?tab=BCTT
