symbol,exchange,company_name,display_name,en_company_name,vietstock_company_name,name_match_status,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,vietstock_financial_url,status,needs_review,review_reason
BSG,UPCOM,CTCP Xe khách Sài Gòn,CTCP Xe khách Sài Gòn,Saigon Passenger Transport JSC,CTCP Xe khách Sài Gòn - SATRANCO - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Vận tải mặt đất,Công nghiệp,Vận tải,Vận tải mặt đất,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BSG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BSG/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BTH,UPCOM,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,Ha Noi Transformer Manufacturing And Electric Material Joint Stock Company,"CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội - CTBT HN., JSC - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BTH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BTH/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BTP,HOSE,CTCP Nhiệt điện Bà Rịa,CTCP Nhiệt điện Bà Rịa,BaRia Thermal Power Joint Stock Company,CTCP Nhiệt điện Bà Rịa - BTP - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BTP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BTP/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BVL,UPCOM,CTCP BV Land,CTCP BV Land,BV Land JSC,CTCP BV Land - BV Land - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BVL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BVL/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BWS,UPCOM,CTCP Cấp nước Bà Rịa - Vũng Tàu,CTCP Cấp nước Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau Water Supply Joint Stock Company,CTCP Cấp nước Bà Rịa - Vũng Tàu - BWACO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BWS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BWS/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CCL,HOSE,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Cuu Long Petro Urban Development & Investment Corporation,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long - PVCL - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CCL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CCL/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CCR,HNX,CTCP Cảng Cam Ranh,CTCP Cảng Cam Ranh,Cam Ranh Port Joint Stock Company,CTCP Cảng Cam Ranh - Cảng Cam Ranh - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CCR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CCR/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CCT,UPCOM,CTCP Cảng Cần Thơ,CTCP Cảng Cần Thơ,CanTho Port Joint Stock Company,CTCP Cảng Cần Thơ - CANTHO PORT - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CCT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CCT/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CDN,HNX,CTCP Cảng Đà Nẵng,CTCP Cảng Đà Nẵng,Danang Port Joint Stock Company,CTCP Cảng Đà Nẵng - DaNang Port - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CDN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CDN/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CHP,HOSE,CTCP Thủy điện Miền Trung,CTCP Thủy điện Miền Trung,Central Hydropower Joint Stock Company,CTCP Thủy điện Miền Trung - EVNCHP - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CHP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CHP/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CKG,HOSE,CTCP Tập đoàn CIC,CTCP Tập đoàn CIC,CIC Group Joint Stock Company,CTCP Tập đoàn CIC - CIC Group - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CKG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CKG/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CLG,UPCOM,CTCP Đầu tư và Phát triển Nhà đất COTEC,CTCP Đầu tư và Phát triển Nhà đất COTEC,Cotec Invesment & Land-House Development JSC,CTCP Đầu tư và Phát triển Nhà đất COTEC - COTECLAND JSC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Bất động sản,Bất động sản đa dạng,,Xây dựng,NORMAL,15,ky thuat xay dung,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/CLG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CLG/tai-chinh.htm?tab=BCTT,OK,YES,Phân ngành dùng fallback watchlist
CLL,HOSE,CTCP Cảng Cát Lái,CTCP Cảng Cát Lái,Cat Lai Port Joint Stock Company,CTCP Cảng Cát Lái - CAT LAI PORT JSC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CLL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CLL/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CLX,UPCOM,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Cho Lon Investment And Import Export Corporation (CHOLIMEX),CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX) - CHOLIMEX - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,Thương mại hàng thiết yếu,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CLX/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CLX/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CMP,UPCOM,CTCP Cảng Chân Mây,CTCP Cảng Chân Mây,Chanmay Port Joint Stock Company,CTCP Cảng Chân Mây - Cảng Chân Mây - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CMP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CMP/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CNG,HOSE,CTCP CNG Việt Nam,CTCP CNG Việt Nam,CNG Viet Nam Joint Stock Company,CTCP CNG Việt Nam - CNG VIET NAM - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Gas sinh hoạt,Tiện ích,Gas sinh hoạt,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CNG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CNG/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CNT,UPCOM,CTCP Tập đoàn CNT,CTCP Tập đoàn CNT,CNT Group Corporation,CTCP Tập đoàn CNT - CNT Group - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CNT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CNT/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CPI,UPCOM,CTCP Đầu tư Cảng Cái Lân,CTCP Đầu tư Cảng Cái Lân,Cailan Port Investment Joint Stock Company,CTCP Đầu tư Cảng Cái Lân - CAILANPORT INVEST JSC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CPI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CPI/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CQN,UPCOM,CTCP Cảng Quảng Ninh,CTCP Cảng Quảng Ninh,QUANG NINH PORT JSC,CTCP Cảng Quảng Ninh - Cảng Quảng Ninh - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CQN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CQN/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CSC,HNX,CTCP Tập đoàn COTANA,CTCP Tập đoàn COTANA,COTANA Group JSC,"CTCP Tập đoàn Cotana - COTANA GROUP., JSC - Hồ sơ doanh nghiệp",MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CSC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CSC/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CTW,UPCOM,CTCP Cấp thoát nước Cần Thơ,CTCP Cấp thoát nước Cần Thơ,Can Tho Water Supply - Sewerage JSC,CTCP Cấp thoát nước Cần Thơ - CANTHOWASSCO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CTW/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CTW/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CTX,UPCOM,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Vietnam Investment Construction and Trading Joint Stock Corporation,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam - CONSTREXIM HOLDINGS - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Bất động sản đa dạng,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CTX/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CTX/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
D2D,HOSE,CTCP Phát triển Đô thị Công nghiệp số 2,CTCP Phát triển Đô thị Công nghiệp số 2,Industrial Urban Development JSC No. 2,CTCP Phát triển Đô thị Công nghiệp số 2 - Công ty D2D - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/D2D/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/D2D/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DCS,UPCOM,CTCP Tập đoàn Đại Châu,CTCP Tập đoàn Đại Châu,Dai Chau Group JSC,CTCP Tập đoàn EDX - Tập đoàn EDX - Hồ sơ doanh nghiệp,MISMATCH_REVIEW,Nguyên vật liệu,Nguyên vật liệu,Gỗ và giấy,Nguyên vật liệu,Gỗ và giấy,,Gỗ & Giấy,NORMAL,24,go va giay,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/DCS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DCS/tai-chinh.htm?tab=BCTT,OK,YES,Tên VNStock khác Vietstock
DL1,HNX,CTCP Tập đoàn Alpha Seven,CTCP Tập đoàn Alpha Seven,Alpha Seven Group JSC,CTCP Tập đoàn Alpha Seven - ALPHA 7 GROUP - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DL1/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DL1/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DNA,UPCOM,CTCP Điện Nước An Giang,CTCP Điện Nước An Giang,An Giang Power And Water Supply Joint Stock Company,CTCP Điện Nước An Giang - POWACO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DNA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DNA/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DNH,UPCOM,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Da Nhim - Ham Thuan - Da Mi Hydro Power Joint Stock Company,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi - EVNHPC DHD - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DNH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DNH/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DNN,UPCOM,CTCP Cấp nước Đà Nẵng,CTCP Cấp nước Đà Nẵng,Da Nang Water Supply Joint Stock Company,CTCP Cấp nước Đà Nẵng - DAWACO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DNN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DNN/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DNW,UPCOM,CTCP Cấp nước Đồng Nai,CTCP Cấp nước Đồng Nai,Dong Nai Water Joint Stock Company,CTCP Cấp nước Đồng Nai - DOWACO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DNW/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DNW/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DQC,HOSE,CTCP Tập đoàn Điện Quang,CTCP Tập đoàn Điện Quang,Dien Quang Group Joint Stock Company,CTCP Tập đoàn Điện Quang - - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DQC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DQC/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DTE,UPCOM,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings,Dai Truong Thanh Holdings Energy Investment JSC,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings - DTT Holdings - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DTE/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DTE/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DTK,HNX,Tổng Công ty Điện lực TKV - CTCP,Tổng Công ty Điện lực TKV - CTCP,Vinacomin - Power Holding Corporation,Tổng Công ty Điện lực TKV - CTCP - Tổng công ty Điện lực - TKV - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DTK/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DTK/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DVP,HOSE,CTCP Đầu tư và Phát triển Cảng Đình Vũ,CTCP Đầu tư và Phát triển Cảng Đình Vũ,Dinh Vu Port Investment and Development JSC,CTCP Đầu tư và Phát triển Cảng Đình Vũ - CTCP Cảng Đình Vũ - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DVP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DVP/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
DWS,UPCOM,CTCP Cấp nước và Môi trường đô thị Đồng Tháp,CTCP Cấp nước và Môi trường đô thị Đồng Tháp,Dong Thap Water Supply & Urban Environment Joint Stock Company,CTCP Cấp nước và Môi trường đô thị Đồng Tháp - DOWASEN - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DWS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DWS/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
FCS,UPCOM,CTCP Lương thực Thành phố Hồ Chí Minh,CTCP Lương thực Thành phố Hồ Chí Minh,Ho Chi Minh City Food JSC,CTCP Lương thực Thành phố Hồ Chí Minh - FOODCOSA - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,,Thực phẩm & đồ uống,NORMAL,18,thuc pham,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/FCS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/FCS/tai-chinh.htm?tab=BCTT,OK,YES,Phân ngành dùng fallback watchlist
FDC,HOSE,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Foreign Trade Development & Investment Corporation of HCMC,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh - CÔNG TY CỔ PHẦN FIDECO - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/FDC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/FDC/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
FIR,HOSE,CTCP Địa ốc First Real,CTCP Địa ốc First Real,First Real Joint Stock Company,CTCP Địa ốc First Real - FIRST REAL. JSC - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/FIR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/FIR/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
